City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
344,Kabanjahe,ID,70.56,broken clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
346,Itarema,BR,81.16,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
348,Eydhafushi,MV,82.24,few clouds,5.1033,73.0708,Soneva Fushi
352,Mpika,ZM,80.51,clear sky,-11.8343,31.4529,Melodies Lodge
353,Jacareacanga,BR,72.5,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
354,Galle,LK,82.54,overcast clouds,6.0367,80.217,Amangalla
355,Kui Buri,TH,78.75,broken clouds,12.0828,99.8543,Rista House & Resort
358,Valle Hermoso,MX,76.89,overcast clouds,25.6667,-97.8333,MAQUINARIA Y TRANSPORTE DE CARGA
362,Umm Lajj,SA,75.49,few clouds,25.0213,37.2685,Moon light Furnished Units
364,Lagdo,CM,81.19,overcast clouds,9.05,13.7333,
365,Keningau,MY,81.05,overcast clouds,5.3378,116.1602,Sabindo Hotel
367,Rio Branco,BR,72.21,broken clouds,-9.9747,-67.81,Inácio Palace Hotel
370,Santiago,CL,72.86,clear sky,-33.4569,-70.6483,Che Lagarto Hostel Santiago
371,Harper,LR,78.78,light rain,4.375,-7.7169,Screensaver
372,Carauari,BR,72.61,light rain,-4.8828,-66.8958,Hotel Fellip
373,Cap Malheureux,MU,84.69,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
376,Saint-Louis,SN,71.96,few clouds,16.3333,-15.0,
379,Ratnagiri,IN,81.68,clear sky,16.9833,73.3,Hotel Landmark
380,Pak Phanang,TH,80.73,overcast clouds,8.3511,100.202,Green Park Inn Hotel
384,Salalah,OM,84.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
387,Pemangkat,ID,82.69,overcast clouds,1.1667,108.9667,Ramah Kost KITA
394,Galesong,ID,75.22,moderate rain,-5.3166,119.3661,Sapriadi Appy
396,Kahului,US,73.85,very heavy rain,20.8947,-156.47,Maui Seaside Hotel
397,Labuan,MY,77.16,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
398,Palapye,BW,75.04,overcast clouds,-22.546,27.1251,Camp Itumela
406,Batouri,CM,77.38,overcast clouds,4.4333,14.3667,Hotel Hollywood
408,Tabuk,PH,72.48,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
409,Cockburn Town,TC,80.19,clear sky,21.4612,-71.1419,Osprey Beach Hotel
413,Champerico,GT,77.04,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
414,Bandarbeyla,SO,80.96,clear sky,9.4942,50.8122,JABIR HOTEL
419,Gwadar,PK,77.18,overcast clouds,25.1216,62.3254,Sadaf Resort
427,Sao Raimundo Nonato,BR,71.78,clear sky,-9.0153,-42.6994,Real Hotel
428,Padang,ID,87.85,broken clouds,-0.9492,100.3543,Mercure Padang
430,Ipixuna,BR,75.15,broken clouds,-1.7625,-48.8043,Casa da Oscarina
434,Ouesso,CG,78.53,overcast clouds,1.6136,16.0517,ABENIE Hotel
437,Jiazi,CN,71.13,clear sky,22.8779,116.067,Hotel Jin Hao
438,East London,ZA,73.87,clear sky,-33.0153,27.9116,Tu Casa
442,Acarau,BR,81.28,scattered clouds,-2.8856,-40.12,castelo pizzaria
444,Sattahip,TH,87.89,few clouds,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
445,Nueva Loja,EC,70.36,overcast clouds,0.0847,-76.8828,Limoncocha Great Hotel
446,Moroni,KM,83.28,light rain,-11.7022,43.2551,Hotel les Arcades
447,Manavalakurichi,IN,86.09,overcast clouds,8.1333,77.3,Muttom beach west
449,Poso,ID,82.81,moderate rain,-1.3959,120.7524,Hotel 77 Poso
450,Eyl,SO,83.08,broken clouds,7.9803,49.8164,Amiin Hotel
451,Shulin,CN,74.82,clear sky,22.7454,108.423,Lacroom Hotel
452,Wanning,CN,74.79,broken clouds,18.8003,110.3967,Paradise Hotel
453,Luau,AO,70.09,overcast clouds,-10.7073,22.2247,Casa- Bernardo Cândido
457,Acajutla,SV,78.42,clear sky,13.5928,-89.8275,asi es
459,Kirakira,SB,79.74,light rain,-10.4544,161.9205,SanBiz Lodge
460,Riyadh,SA,73.54,few clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
473,Amapa,BR,70.79,broken clouds,1.0,-52.0,
474,Tezu,IN,76.05,overcast clouds,27.9167,96.1667,Circuit House
475,Tadine,NC,78.35,broken clouds,-21.55,167.8833,
476,Sao Sebastiao,BR,71.24,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
478,Ballina,AU,70.95,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
485,Moerai,PF,78.24,overcast clouds,-22.4333,-151.3333,Le Manotel
486,Holalkere,IN,79.93,broken clouds,14.0333,76.1833,Hotel Sneha Comforts
488,Tchibanga,GA,72.61,overcast clouds,-2.85,11.0333,
489,Sorong,ID,84.63,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
490,Wattegama,LK,88.97,overcast clouds,6.7989,81.4808,
492,Pokhara,NP,72.41,clear sky,28.2333,83.9833,Butterfly Lodge
494,Swan Hill,AU,86.34,scattered clouds,-35.3378,143.5544,Lazy River Motor Inn
497,Poum,NC,82.6,clear sky,-20.2333,164.0167,Gîte kajeon
498,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
500,Sakhipur,BD,73.27,light rain,24.3,90.1833,জুনিয়র এফ.সি-ক্লাব-২
505,Namibe,AO,74.77,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
506,Canutama,BR,73.31,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
507,Jizan,SA,83.82,clear sky,17.3333,42.6667,شهدان. ابوالحجر
508,Voh,NC,81.75,scattered clouds,-20.9667,164.7,Le gîte du Koniambo
510,Banda Aceh,ID,84.07,broken clouds,5.5577,95.3222,Sulthan Hotel International
511,Cururupu,BR,74.1,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
512,Jambi,ID,86.05,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
515,Dong Hoi,VN,72.57,overcast clouds,17.4833,106.6,Nam Long Hotel
517,Airai,TL,71.87,moderate rain,-8.9266,125.4092,Juvinal Martin
518,Broken Hill,AU,83.14,clear sky,-31.95,141.4333,Royal Exchange Hotel
520,Jamalpur,BD,70.63,overcast clouds,24.9167,89.9333,College hostel
527,Dhidhdhoo,MV,82.22,few clouds,6.8833,73.1,Dhidhoo beach
528,Dingle,PH,82.51,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
530,Seddon,AU,84.2,clear sky,-37.8068,144.8916,Footscray Motor Inn
535,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
536,Auki,SB,78.98,overcast clouds,-8.7676,160.7034,Auki Motel
539,Monte Aprazivel,BR,70.86,clear sky,-20.7725,-49.7142,Torres Palace Hotel
540,Port-Gentil,GA,75.16,thunderstorm with light rain,-0.7193,8.7815,Fengshui Residence
542,Adelaide,AU,79.56,clear sky,-34.9333,138.6,The Chancellor on Currie
543,Road Town,VG,79.0,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
545,Trinidad,BO,71.17,overcast clouds,-14.8333,-64.9,Hotel Piesta
547,Merauke,ID,85.37,broken clouds,-8.4667,140.3333,
550,Mahibadhoo,MV,82.6,few clouds,3.7833,72.9667,Omadhoo Inn
551,Namatanai,PG,82.11,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
553,Sabya,SA,84.29,clear sky,17.1495,42.6254,Aseel Hotel Apartment
554,Port Macquarie,AU,71.89,light rain,-31.4333,152.9167,Rydges Port Macquarie
555,Meulaboh,ID,85.05,clear sky,4.1363,96.1285,Kost Pria
560,Port Blair,IN,81.77,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
563,Nawabganj,BD,77.94,few clouds,24.5911,88.271,দা সফ্‌ট আইটি
567,Esmeralda,CU,74.44,overcast clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
571,Mayumba,GA,75.76,overcast clouds,-3.432,10.6554,LIKWALE LODGE
