City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
137,Saint George,12,US,2021-12-03 06:56:27,29,37.1041,-113.5841,56.53,2.37
138,Bambous Virieux,75,MU,2021-12-03 06:57:27,70,-20.3428,57.7575,84.45,11.5
139,Lata,7,PT,2021-12-03 06:57:27,84,40.1629,-8.3327,45.81,3.29
140,Olafsvik,100,IS,2021-12-03 06:57:28,87,64.8945,-23.7142,34.92,12.77
141,Faya,0,SA,2021-12-03 06:57:28,20,18.3851,42.4509,59.52,2.73
142,Saldanha,100,ZA,2021-12-03 06:57:29,58,-33.0117,17.9442,66.25,8.68
143,Leh,89,IN,2021-12-03 06:57:29,46,34.1667,77.5833,27.19,0.25
144,Komsomolskiy,100,UZ,2021-12-03 06:57:29,32,40.4272,71.7189,53.02,0.0
145,Chuy,8,UY,2021-12-03 06:57:30,88,-33.6971,-53.4616,58.15,6.87
146,Bengkulu,100,ID,2021-12-03 06:57:30,69,-3.8004,102.2655,84.49,9.42
147,Elbistan,0,TR,2021-12-03 06:57:31,47,38.2059,37.1983,36.68,0.6
148,Mount Isa,53,AU,2021-12-03 06:57:31,12,-20.7333,139.5,101.97,8.05
149,Ust-Nera,100,RU,2021-12-03 06:57:32,98,64.5667,143.2,-20.0,4.25
150,Prince George,20,CA,2021-12-03 06:57:32,72,53.9166,-122.753,29.25,9.22
151,Saint-Pierre,0,RE,2021-12-03 06:57:33,73,-21.3393,55.4781,87.44,21.85
152,Erie,100,US,2021-12-03 06:54:03,71,42.7667,-78.6664,36.09,3.0
153,Gemena,100,CD,2021-12-03 06:57:33,88,3.25,19.7667,75.34,0.51
154,Makakilo City,90,US,2021-12-03 06:57:34,82,21.3469,-158.0858,75.56,13.8
155,Russell,1,US,2021-12-03 06:57:34,70,32.3502,-85.1999,54.0,0.0
156,Faanui,81,PF,2021-12-03 06:57:35,73,-16.4833,-151.75,81.43,21.34
157,Tigre,0,AR,2021-12-03 06:57:35,79,-34.426,-58.5796,68.0,10.36
158,Chegem,100,RU,2021-12-03 06:57:35,45,43.2833,43.1333,14.13,8.16
159,Monrovia,63,LR,2021-12-03 06:57:36,85,6.3005,-10.7969,76.77,3.69
160,Pearl,1,US,2021-12-03 06:57:36,92,32.2746,-90.132,56.14,0.0
161,Kununurra,100,AU,2021-12-03 06:57:37,18,-15.7667,128.7333,109.38,10.36
162,Vila Franca Do Campo,6,PT,2021-12-03 06:57:37,84,37.7167,-25.4333,63.01,2.08
163,Arraial Do Cabo,95,BR,2021-12-03 06:57:37,73,-22.9661,-42.0278,71.55,3.44
164,Tashtagol,12,RU,2021-12-03 06:57:38,65,52.7657,87.8894,33.15,3.69
165,Peterhead,71,GB,2021-12-03 06:57:38,82,57.5058,-1.7981,41.4,22.68
166,Bindura,0,ZW,2021-12-03 06:57:39,39,-17.3019,31.3306,82.02,9.06
167,Quatre Cocos,19,MU,2021-12-03 06:57:39,69,-20.2078,57.7625,84.31,12.28
168,Port-Gentil,75,GA,2021-12-03 06:57:39,89,-0.7193,8.7815,80.56,8.05
169,Severo-Kurilsk,5,RU,2021-12-03 06:57:40,83,50.6789,156.125,35.38,13.85
