City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Tongchuan,CN,35.0806,109.0897,49.59,25,3,6.2,clear sky
198,Ust-Nera,RU,64.5667,143.2,-18.74,98,100,5.01,overcast clouds
199,Hambantota,LK,6.1241,81.1185,86.34,79,40,2.3,scattered clouds
200,Luzhou,CN,28.8724,105.4405,63.39,59,16,4.63,few clouds
201,Waitati,NZ,-45.75,170.5667,54.81,66,91,8.01,overcast clouds
202,Manapparai,IN,10.6,78.4167,77.86,67,54,5.06,broken clouds
203,Teguise,ES,29.0605,-13.564,61.02,72,40,18.41,scattered clouds
204,Lebu,CL,-37.6167,-73.65,54.93,83,0,3.71,clear sky
205,Koygorodok,RU,60.445,50.9968,-6.52,97,91,3.13,overcast clouds
206,Williams Lake,CA,52.1415,-122.1445,10.22,88,100,3.83,overcast clouds
207,Richards Bay,ZA,-28.783,32.0377,85.75,54,15,10.94,few clouds
208,Oum Hadjer,TD,13.2954,19.6966,79.75,20,18,12.41,few clouds
209,Coahuayana,MX,18.7333,-103.6833,72.16,94,100,3.78,overcast clouds
210,Jacqueville,CI,5.2052,-4.4146,82.31,80,98,7.85,overcast clouds
211,Ambovombe,MG,-25.1667,46.0833,92.39,35,0,9.26,clear sky
212,Marolambo,MG,-20.05,48.1167,85.91,45,9,4.14,clear sky
213,Batagay,RU,67.6333,134.6333,-19.57,99,100,1.14,overcast clouds
214,Mar Del Plata,AR,-38.0023,-57.5575,60.87,86,0,0.0,clear sky
215,Saint-Pierre,RE,-21.3393,55.4781,87.44,62,0,19.57,clear sky
216,Broome,US,42.2506,-75.833,47.01,76,90,4.0,overcast clouds
217,Yerbogachen,RU,61.2767,108.0108,-16.49,98,6,4.05,clear sky
218,Kaitangata,NZ,-46.2817,169.8464,52.93,56,83,11.39,broken clouds
219,Tanete,ID,-3.9443,119.7848,75.2,96,100,14.38,light rain
220,Kodiak,US,57.79,-152.4072,35.11,80,90,18.41,light snow
221,Babra,IN,21.85,71.3,83.17,30,0,10.33,clear sky
222,Mnogovershinnyy,RU,53.9353,139.9242,5.52,96,100,2.1,overcast clouds
223,Ranong,TH,9.9658,98.6348,83.16,59,10,13.33,clear sky
224,Abong Mbang,CM,3.9833,13.1833,75.11,77,100,0.58,overcast clouds
225,Zhezkazgan,KZ,47.8043,67.7144,33.62,84,92,10.56,overcast clouds
226,Puerto Ayora,EC,-0.7393,-90.3518,66.79,93,100,6.38,overcast clouds
227,Ippy,CF,6.2679,21.2247,82.6,51,99,3.42,overcast clouds
228,Kavaratti,IN,10.5669,72.642,80.87,70,39,12.59,scattered clouds
229,Tuktoyaktuk,CA,69.4541,-133.0374,-2.43,77,100,14.14,overcast clouds
230,Oranjemund,NA,-28.55,16.4333,66.07,72,0,12.06,clear sky
231,Formosa Do Rio Preto,BR,-11.0483,-45.1931,67.6,97,7,2.73,clear sky
232,Guozhen,CN,34.3659,107.359,54.0,29,100,6.53,overcast clouds
233,Pangnirtung,CA,66.1451,-65.7125,4.75,98,100,7.49,light snow
234,Waingapu,ID,-9.6567,120.2641,84.96,73,100,5.12,overcast clouds
235,Mogadishu,SO,2.0371,45.3438,83.25,63,15,13.33,few clouds
236,Dekernes,EG,31.0876,31.595,65.86,57,50,5.12,scattered clouds
237,Huarmey,PE,-10.0681,-78.1522,65.59,90,93,8.63,overcast clouds
238,Marabba,SD,12.35,32.1833,83.52,21,0,13.02,clear sky
239,Makakilo City,US,21.3469,-158.0858,71.92,92,90,4.61,mist
240,Port Augusta,AU,-32.5,137.7667,82.71,42,19,17.85,few clouds
241,Isangel,VU,-19.55,169.2667,87.91,62,20,0.0,few clouds
242,Bayji,IQ,34.9311,43.487,61.43,34,0,4.92,clear sky
243,Ponta Delgada,PT,37.7333,-25.6667,60.49,72,75,5.75,broken clouds
244,Lazaro Cardenas,MX,17.9583,-102.2,74.55,88,77,3.65,broken clouds
245,Maniitsoq,GL,65.4167,-52.9,24.82,78,100,28.3,light snow
246,Sao Filipe,CV,14.8961,-24.4956,75.4,70,87,10.02,overcast clouds
247,Boende,CD,-0.2167,20.8667,77.38,73,100,3.87,overcast clouds
248,Asfi,MA,32.2994,-9.2372,54.28,84,0,17.83,clear sky
249,Tautira,PF,-17.7333,-149.15,80.62,75,9,16.35,light rain
250,Mbandaka,CD,0.0487,18.2603,73.69,89,100,2.39,overcast clouds
251,Caravelas,BR,-17.7125,-39.2481,71.98,93,12,4.27,few clouds
252,Lavrentiya,RU,65.5833,-171.0,24.96,96,100,8.19,light snow
253,Turukhansk,RU,65.8167,87.9833,-30.73,97,15,3.13,few clouds
254,Tambacounda,SN,13.7539,-13.7586,73.8,16,93,7.16,overcast clouds
255,Qeshm,IR,26.9581,56.2719,78.67,51,4,5.35,clear sky
256,Kuytun,RU,54.3419,101.5036,22.44,85,97,2.98,overcast clouds
257,Nenagh,IE,52.8619,-8.1967,45.79,87,100,17.69,light rain
258,Kieta,PG,-6.2167,155.6333,81.77,84,100,3.0,light rain
259,Kawalu,ID,-7.3817,108.2082,78.58,82,97,1.66,overcast clouds
260,Christchurch,NZ,-43.5333,172.6333,53.94,85,90,3.44,light rain
261,Termiz,UZ,37.2242,67.2783,57.29,44,0,4.61,clear sky
262,Churapcha,RU,62.0025,132.4325,-23.33,100,100,0.69,overcast clouds
263,Maridi,SS,4.9158,29.4742,87.44,36,100,5.5,overcast clouds
264,College,US,64.8569,-147.8028,19.06,82,75,0.0,broken clouds
265,Narsaq,GL,60.9167,-46.05,23.22,76,94,14.09,overcast clouds
266,Geraldton,AU,-28.7667,114.6,82.81,47,0,25.32,clear sky
267,Varkaus,FI,62.3153,27.873,19.51,93,100,7.29,overcast clouds
268,Praia Da Vitoria,PT,38.7333,-27.0667,58.75,86,100,5.68,overcast clouds
